Time (ms),Trial,Object
0,1,0
10,1,0
20,1,0
30,1,0
40,1,0
50,1,0
60,1,0
70,1,0
80,1,0
90,1,0
100,1,0
110,1,0
120,1,0
130,1,0
140,1,0
150,1,0
160,1,0
170,1,0
180,1,0
190,1,0
200,1,0
210,1,0
220,1,0
230,1,0
240,1,0
250,1,0
260,1,0
270,1,0
280,1,0
290,1,0
300,1,0
310,1,0
320,1,0
330,1,0
340,1,0
350,1,0
360,1,0
370,1,0
380,1,0
390,1,0
400,1,0
410,1,0
420,1,0
430,1,0
440,1,0
450,1,0
460,1,0
470,1,0
480,1,0
490,1,0
500,1,0
510,1,0
520,1,0
530,1,0
540,1,0
550,1,0
560,1,0
570,1,0
580,1,0
590,1,0
600,1,0
610,1,0
620,1,0
630,1,0
640,1,0
650,1,0
660,1,0
670,1,0
680,1,0
690,1,0
700,1,0
710,1,0
720,1,0
730,1,0
740,1,0
750,1,0
760,1,0
770,1,0
780,1,0
790,1,0
800,1,0
810,1,0
820,1,0
830,1,0
840,1,0
850,1,0
860,1,0
870,1,0
880,1,0
890,1,0
900,1,0
910,1,0
920,1,0
930,1,0
940,1,0
950,1,0
960,1,0
970,1,0
980,1,0
990,1,0
1000,1,0
1010,1,0
1020,1,0
1030,1,0
1040,1,0
1050,2,4
1060,3,4
1070,4,10
1080,4,0
1090,4,0
1100,4,0
1110,4,0
1120,4,0
1130,4,0
1140,4,0
1150,4,0
1160,4,0
1170,4,0
1180,4,0
1190,4,0
1200,4,0
1210,4,0
1220,4,0
1230,4,0
1240,4,0
1250,4,0
1260,4,0
1270,4,0
1280,4,0
1290,4,0
1300,4,0
1310,4,0
1320,4,0
1330,4,0
1340,4,0
1350,4,0
1360,5,4
1370,5,4
1380,5,4
1390,5,4
1400,5,4
1410,5,4
1420,5,4
1430,5,4
1440,5,4
1450,5,4
1460,5,4
1470,5,4
1480,5,4
1490,5,4
1500,5,4
1510,5,4
1520,5,4
1530,5,4
1540,5,4
1550,5,4
1560,5,4
1570,5,4
1580,5,4
1590,5,4
1600,5,4
1610,5,4
1620,5,4
1630,5,4
1640,5,4
1650,5,4
1660,5,4
1670,5,4
1680,5,4
1690,5,4
1700,5,4
1710,5,4
1720,5,4
1730,5,4
1740,5,4
1750,5,4
1760,5,4
1770,5,4
1780,5,4
1790,5,4
1800,5,4
1810,5,4
1820,5,4
1830,5,4
1840,5,4
1850,5,4
1860,5,4
1870,5,4
1880,5,4
1890,5,4
1900,5,4
1910,5,4
1920,5,4
1930,5,4
1940,5,4
1950,5,4
1960,5,4
1970,5,4
1980,5,4
1990,5,4
2000,5,4
2010,5,4
2020,5,4
2030,5,4
2040,5,4
2050,5,4
2060,5,4
2070,5,4
2080,5,4
2090,5,4
2100,5,4
2110,5,4
2120,5,4
2130,5,4
2140,5,4
2150,5,4
2160,5,4
2170,5,4
2180,5,4
2190,5,4
2200,5,4
2210,5,4
2220,5,4
2230,5,4
2240,5,4
2250,5,4
2260,5,4
2270,5,4
2280,5,4
2290,5,4
2300,5,4
2310,5,4
2320,5,4
2330,5,4
2340,5,4
2350,5,4
2360,5,4
2370,5,4
2380,5,4
2390,5,4
2400,5,4
2410,5,4
2420,5,4
2430,5,4
2440,5,4
2450,5,4
2460,5,4
2470,5,4
2480,5,4
2490,5,4
2500,5,4
2510,5,4
2520,5,4
2530,5,4
2540,5,4
2550,5,4
2560,5,4
2570,5,4
2580,5,4
2590,5,4
2600,5,4
2610,5,4
2620,5,4
2630,5,4
2640,5,4
2650,5,4
2660,5,4
2670,5,4
2680,5,4
2690,5,4
2700,5,4
2710,5,4
2720,5,4
2730,5,4
2740,5,4
2750,5,4
2760,5,4
2770,5,4
2780,5,4
2790,5,4
2800,5,4
2810,5,4
2820,5,4
2830,5,4
2840,5,4
2850,5,4
2860,5,4
2870,5,4
2880,5,4
2890,5,4
2900,5,4
2910,5,4
2920,5,4
2930,5,4
2940,5,4
2950,5,4
2960,5,4
2970,5,4
2980,5,4
2990,5,4
3000,5,4
3010,5,4
3020,5,4
3030,5,4
3040,5,4
3050,5,4
3060,5,4
3070,5,4
3080,5,4
3090,5,4
3100,5,4
3110,5,4
3120,5,4
3130,5,4
3140,5,4
3150,5,4
3160,5,4
3170,5,4
3180,5,4
3190,5,4
3200,5,4
3210,5,4
3220,5,4
3230,5,4
3240,5,4
3250,5,4
3260,5,4
3270,5,4
3280,5,4
3290,5,4
3300,5,4
3310,5,4
3320,5,4
3330,5,4
3340,5,4
3350,5,4
3360,5,4
3370,6,4
3380,7,10
3390,8,4
3400,9,7
3410,10,4
3420,11,10
